school_name,voluntary_contributions_2015,subject_contributions_2015
Fairfield Heights Public School ,"$12,460",$0
Fairfield High School ,"$29,636","$45,085"
Fairfield Public School ,"$3,197",$0
Fairfield West Public School ,"$6,310",$0
Fairvale High School ,"$89,082","$112,322"
Fairvale Public School ,"$2,703",$0
Fairy Meadow Public School ,$0,$0
Falls Creek Public School ,$595,$0
Farmborough Road Public School ,$0,$0
Farrer Memorial Agricultural High School ,"$163,548","$2,056"
Fassifern Public School ,"$2,222",$0
Faulconbridge Public School ,"$5,222","$8,447"
Fennell Bay Public School ,$0,$0
Fern Bay Public School ,$800,$0
Ferncourt Public School ,"$18,879",$0
Fernleigh Public School ,$950,$0
Field of Mars Environmental Education Centre ,$0,$0
Figtree Heights Public School ,$373,$0
Figtree High School ,"$40,171","$66,009"
Figtree Public School ,$600,$0
Fingal Head Public School ,$889,$0
Finley High School ,"$11,255","$24,229"
Finley Public School ,"$2,840",$0
Fisher Road School ,"$3,440",$181
Five Dock Public School ,"$21,409","$4,285"
Five Islands School ,$625,$389
Five Islands Secondary College ,"$7,974","$25,636"
Flinders Public School ,"$9,070",$0
Floraville Public School ,$0,$0
Forbes High School ,"$7,799","$8,270"
Forbes North Public School ,$0,"$12,337"
Forbes Public School ,"$6,155",$0
Forest Hill Public School ,"$3,724",$0
Forest Lodge Public School ,"$19,730","$35,351"
Forestville Public School ,"$53,362","$96,350"
Forster Public School ,"$8,825",$645
Fort Street High School ,"$217,882","$97,456"
Fort Street Public School ,"$5,140","$10,290"
Fowler Road School ,$0,$0
Francis Greenway High School ,"$4,047","$26,407"
Frank Partridge VC Public School ,"$1,596",$0
Franklin Public School ,$0,$0
Frederickton Public School ,$988,"$1,320"
Freemans Reach Public School ,"$4,685",$0
Frenchs Forest Public School ,"$11,765","$10,133"
G S Kidd Memorial School ,$0,$0
Gadara School ,$0,$702
Galston High School ,"$69,262","$129,449"
Galston Public School ,"$19,341",$0
Ganmain Public School ,"$1,409",$0
Garah Public School ,$0,$0
Garden Suburb Public School ,$810,$0
Gardeners Road Public School ,"$8,163",$0
George Anderson Walpole School ,$0,$0
George Bass School ,"$2,110",$0
Georges Hall Public School ,"$4,871",$0
Georges River College Hurstville Boys Campus ,$87,"$35,389"
Georges River College Oatley Senior Campus ,"$84,068","$145,236"
Georges River College Peakhurst Campus ,"$22,002","$111,195"
Georges River College Penshurst Girls Campus ,"$48,607","$138,274"
Georges River Environmental Education Centre ,$0,$0
Gerogery Public School ,$0,$0
Gerringong Public School ,$0,$0
Geurie Public School ,$450,$0
Gibberagong Environmental Education Centre ,"$95,805",$0
Gilgai Public School ,$0,$0
Gilgandra High School ,"$8,008","$10,248"
Gilgandra Public School ,"$1,505",$0
Gillieston Public School ,"$1,140",$0
Gillwinga Public School ,$970,$0
Girilambone Public School ,$0,$0
Girrakool School ,$0,$0
Girraween High School ,"$61,414","$28,035"
Girraween Public School ,$0,$0
Gladesville Public School ,"$11,610",$0
Gladstone Public School ,$0,$0
Glebe Public School ,$0,$0
Glen Alice Public School ,$0,$0
Glen Innes High School ,"$15,701","$4,455"
Glen Innes Public School ,"$5,204",$0
Glen Innes West Infants School ,"$2,694",$0
Glen William Public School ,$426,$0
Glenbrook Public School ,"$8,825",$0
Glendale East Public School ,"$3,999",$0
Glendale High School ,"$19,770","$42,511"
Glendenning Public School ,$0,$0
Glendore Public School ,$0,$0
Glenfield Park School ,$620,$0
Glenfield Public School ,$0,$161
Glenhaven Public School ,"$26,862",$0
Glenmore Park High School ,"$36,571","$77,217"
Glenmore Park Public School ,"$6,370",$0
Glenmore Road Public School ,"$25,756","$9,802"
Glenorie Public School ,"$10,748",$0
Glenquarry Public School ,$0,$0
Glenreagh Public School ,$0,"$1,395"
Glenroi Heights Public School,$0,$0
Glenroy Public School ,"$1,678",$0
Glenvale School ,"$2,180",$0
Glenwood High School ,"$72,260","$150,969"
Glenwood Public School ,"$2,493",$352
Glossodia Public School ,"$4,003",$0
Gloucester High School ,"$11,983","$20,706"
Gloucester Public School ,"$2,795",$0
Gol Gol Public School ,$0,$0
Goodooga Central School ,$0,$0
Goolgowi Public School ,"$2,344",$0
Goolma Public School ,$562,$0
Goolmangar Public School ,$400,$0
Gooloogong Public School ,$450,$0
Goonellabah Public School ,"$1,435",$0
Goonengerry Public School ,"$2,003",$180
Gordon East Public School ,$432,"$84,111"
Gordon West Public School ,"$27,429","$12,568"
Gorokan High School ,"$6,773","$69,710"
Gorokan Public School ,"$1,745",$0
Gosford East Public School ,"$7,652",$0
Gosford High School ,"$53,380","$230,680"
Gosford Public School ,"$8,005",$0
Goulburn East Public School ,"$2,504",$0
Goulburn High School ,"$5,485","$32,412"
Goulburn North Public School ,$0,$0
Goulburn Public School ,$0,$0
Goulburn South Public School ,$0,$0
Goulburn West Public School ,$0,"$10,487"
Governor Philip King Public School ,"$6,415","$8,625"
Grafton High School ,"$18,417","$37,622"
Grafton Public School ,"$3,122",$0
Grahamstown Public School ,"$1,518","$2,270"
Gralee School ,$0,$0
Granville Boys High School ,"$7,615","$13,220"
Granville East Public School ,"$1,803",$0
Granville Public School ,"$8,730","$2,514"
Granville South Creative and Performing Arts High School ,"$3,904","$9,401"
Granville South Public School ,"$2,280",$0
Gravesend Public School ,"$1,350",$0
Grays Point Public School ,"$31,951",$0
Great Lakes College Forster Campus ,"$18,175","$63,378"
Great Lakes College Senior Campus ,"$11,050","$20,625"
Great Lakes College Tuncurry Campus ,"$16,375","$69,790"
Green Hill Public School ,$0,$0
Green Square School ,$0,$0
Green Valley Public School ,"$2,625",$0
Greenacre Public School ,"$3,803",$0
Greenethorpe Public School ,$0,$0
Greenway Park Public School ,"$22,837",$0
Greenwell Point Public School ,$580,"$1,767"
Greenwich Public School ,"$15,173","$143,940"
Grenfell Public School ,"$3,000",$0
Gresford Public School ,"$1,364",$0
Greta Public School ,$0,$0
Greystanes High School ,"$66,027","$84,878"
Greystanes Public School ,"$25,151","$13,185"
Griffith East Public School ,"$5,980",$0
Griffith High School ,"$8,065","$12,482"
Griffith North Public School ,"$4,275",$0
Griffith Public School ,$718,$417
Grose View Public School ,"$3,885",$0
Guildford Public School ,"$1,110",$0
Guildford West Public School ,"$2,490",$0
Guise Public School ,$0,$0
Gulargambone Central School ,$0,$677
Gulgong High School ,"$5,161","$14,007"
Gulgong Public School ,"$2,802",$0
Gulmarrad Public School ,$70,$0
Gum Flat Public School ,"$1,375",$0
Gundagai High School ,"$4,925","$10,079"
Gundagai Public School ,"$2,918",$0
Gundagai South Public School ,$0,$0
Gundaroo Public School ,$0,$0
Gunnedah High School ,"$8,304","$15,069"
Gunnedah Public School ,$40,$0
Gunnedah South Public School ,"$9,800",$0
Gunning Public School ,"$1,190",$0
Guyra Central School ,"$5,220","$7,732"
Gwabegar Public School ,$0,$0
Gwandalan Public School ,$0,$0
Gwynneville Public School ,"$3,723",$0
Gymea Bay Public School ,"$44,118",$0
Gymea North Public School ,"$27,500",$0
Gymea Technology High School ,"$33,363","$49,828"
Haberfield Public School ,"$25,960",$0
Halinda School ,$290,$0
Hallidays Point Public School ,"$11,151",$0
Hambledon Public School ,"$12,190",$0
Hamilton North Public School ,"$1,725",$0
Hamilton Public School ,"$10,000","$4,940"
Hamilton South Public School ,"$15,278","$26,088"
Hammondville Public School ,"$8,333",$0
Hampden Park Public School ,"$2,130",$0
Hampton Public School ,$0,$0
Hannam Vale Public School ,$425,$750
Hannans Road Public School ,$0,$0
Hanwood Public School ,$0,"$3,970"
Harbord Public School ,"$51,527","$203,105"
Harcourt Public School ,"$27,451",$250
Hargraves Public School ,$0,$0
Harrington Park Public School ,$0,$0
Harrington Public School ,"$1,050",$0
Harrington Street Public School ,"$27,882",$0
Harwood Island Public School ,$0,$0
Hassall Grove Public School ,"$6,575",$0
Hastings Public School ,"$17,485",$0
Hastings Secondary College Port Macquarie Campus ,"$21,683","$54,274"
Hastings Secondary College Westport Campus ,"$8,193","$31,797"
Havenlee School ,$850,$0
Hawkesbury High School ,"$19,515","$47,237"
Hay Public School ,"$4,290","$3,588"
Hay War Memorial High School ,"$4,220","$14,706"
Hayes Park Public School ,$645,$0
Hazelbrook Public School ,"$4,970",$0
Heathcote East Public School ,"$4,675","$2,454"
Heathcote High School ,"$87,654","$97,368"
Heathcote Public School ,"$9,780",$0
Heaton Public School ,"$1,442",$0
Hebersham Public School ,$0,$0
Heckenberg Public School ,$0,$0
Helensburgh Public School ,"$8,098",$0
Henry Fulton Public School ,"$4,935",$0
Henry Kendall High School ,"$27,491","$48,134"
Henty Public School ,"$2,270",$0
Hermidale Public School ,$25,$0
Hernani Public School ,$0,$0
Herons Creek Public School ,$0,"$3,385"
Highlands School ,$766,$0
Hill End Public School ,$0,$0
Hill Top Public School ,$0,$0
Hillsborough Public School ,"$6,941",$0
Hillside Public School ,"$17,415",$0
Hillston Central School ,"$3,706","$1,355"
Hilltop Road Public School ,"$8,815",$0
Hillvue Public School ,$0,$0
Hinchinbrook Public School ,"$7,912",$0
Hinton Public School ,"$1,570",$0
Hobartville Public School ,"$8,845",$0
Holbrook Public School ,"$3,090",$0
Holgate Public School ,"$1,020",$0
Holman Place School ,$0,$0
Holmwood Public School ,"$1,646",$0
Holroyd High School ,"$17,721","$25,628"
Holroyd Intensive English Centre ,$0,$210
Holroyd School ,"$2,360","$5,308"
Holsworthy High School ,"$29,988","$56,229"
Holsworthy Public School ,$0,$0
Homebush Boys High School ,"$100,757","$120,303"
Homebush Public School ,"$31,687",$0
Homebush West Public School ,"$25,298",$0
HopeTown School ,"$1,608","$3,905"
Hornsby Girls High School ,"$123,283","$81,024"
Hornsby Heights Public School ,$0,"$81,762"
Hornsby North Public School ,"$40,778","$161,998"
Hornsby South Public School ,"$65,589",$0
Horsley Park Public School ,"$2,160",$0
Howlong Public School ,"$3,193",$0
Hoxton Park High School ,"$14,873","$23,627"
Hoxton Park Public School ,"$5,666","$9,819"
Hume Public School ,"$1,240","$1,134"
Humula Public School ,$124,$0
Hunter River Community School ,$475,$0
Hunter River High School ,"$6,776","$27,845"
Hunter School of Performing Arts ,"$219,189","$141,067"
Hunter Sports High School ,"$10,725","$36,494"
Hunters Hill High School ,"$54,419","$77,412"
Hunters Hill Public School ,$0,$0
Huntingdon Public School ,"$1,680",$0
Hurlstone Agricultural High School ,"$138,146","$43,906"
Hurstville Grove Infants School ,"$1,320",$0
Hurstville Public School ,"$39,381",$0
Hurstville South Public School ,"$16,444","$24,962"
Huskisson Public School ,"$1,497",$0
Ilford Public School ,"$1,045",$0
Illabo Public School ,$0,$0
Illaroo Road Public School ,$0,$0
Illawarra Environmental Education Centre ,$0,"$50,251"
Illawarra Hospital School ,$0,$0
Illawarra Sports High School ,"$13,005","$35,080"
Illawong Public School ,"$13,336",$0
Iluka Public School ,$0,$0
Induna School ,$0,$0
Ingleburn High School ,"$6,858","$25,590"
Ingleburn North Public School ,"$2,564",$0
Ingleburn Public School ,"$5,678",$0
Inverell High School ,"$24,008","$40,540"
Inverell Public School ,"$3,960",$0
Iona Public School ,$0,"$3,104"
Ironbark Ridge Public School ,"$21,220","$25,590"
Irrawang High School ,"$3,186","$36,524"
Irrawang Public School ,$148,$0
Islington Public School ,"$1,295",$0
Ivanhoe Central School ,$0,$0
J J Cahill Memorial High School ,"$24,820","$37,648"
Jamberoo Public School ,"$4,991",$0
James Busby High School ,"$7,812","$38,146"
James Cook Boys High School ,"$10,162","$30,797"
James Erskine Public School ,"$4,354",$0
James Fallon High School ,"$22,290","$36,365"
James Meehan High School ,"$1,600","$7,397"
James Ruse Agricultural High School ,"$333,177","$136,742"
Jamison High School ,"$32,269","$61,503"
Jamisontown Public School ,"$2,070",$0
Jannali East Public School ,"$8,217","$4,800"
Jannali Public School ,"$5,247",$0
Jasper Road Public School ,"$67,206",$240
Jennings Public School ,$320,$0
Jerangle Public School ,$0,$0
Jerilderie Public School ,"$1,370",$0
Jerrabomberra Public School ,"$24,565",$0
Jerrys Plains Public School ,$850,$0
Jesmond Public School ,$642,$0
Jewells Primary School ,"$12,127",$0
Jiggi Public School ,$0,"$3,840"
Jilliby Public School ,"$1,512",$0
Jindabyne Central School ,"$23,014","$64,048"
Jindera Public School ,$0,"$1,229"
John Brotchie Nursery School ,$0,$0
John Edmondson High School ,"$50,077","$101,361"
John Hunter Hospital School ,$0,$0
John Palmer Public School ,"$17,605","$19,410"
John Purchase Public School ,"$65,908","$67,504"
John Warby Public School ,$0,$0
Johns River Public School ,$120,$0
Jugiong Public School ,$0,$0
Junee High School ,"$4,677","$18,803"
Junee North Public School ,$0,$0
Junee Public School ,"$1,595",$0
Kahibah Public School ,"$9,626",$0
Kalinda School ,$0,"$3,681"
Kambora Public School ,$0,"$39,189"
Kanahooka High School ,"$18,940","$30,965"
Kandeer School ,$0,$0
Kandos High School ,"$4,106","$6,721"
Kandos Public School ,$825,"$2,250"
Kangaloon Public School ,$100,$0
Kangaroo Valley Public School ,"$2,715",$0
Kanwal Public School ,"$2,640",$0
Kapooka Public School ,$800,$0
Karabar High School ,"$7,859","$41,627"
Karabar High School Distance Education Centre ,"$14,342","$43,348"
Karangi Public School ,"$4,935",$203
Kareela Public School ,"$23,795","$15,610"
Kariong Mountains High School ,"$9,176","$28,170"
Kariong Public School ,"$7,176","$5,450"
Karningul School ,$0,$0
Karonga School ,"$1,890","$3,260"
Karuah Public School ,$565,$0
Katoomba High School ,"$19,249","$17,705"
Katoomba North Public School ,$970,$0
Katoomba Public School ,"$4,166",$0
Kearns Public School ,$0,$0
Kearsley Public School ,"$1,097",$0
Kegworth Public School ,"$14,693","$19,512"
Keira High School ,"$30,865","$43,189"
Keiraville Public School ,"$9,221",$0
Kellys Plains Public School ,$850,$0
Kellyville High School ,"$63,510","$165,312"
Kellyville Public School ,"$55,420",$0
Kellyville Ridge Public School ,"$29,240",$0
Kelso Public School ,$110,$0
Kemblawarra Public School ,$0,$0
Kemps Creek Public School ,"$2,722",$0
Kempsey East Public School ,"$3,164",$0
Kempsey High School ,$950,"$6,827"
Kempsey South Public School ,"$1,895",$0
Kempsey West Public School ,$800,$0
Kendall Public School ,$516,$0
Kensington Public School ,"$41,773",$0
Kent Road Public School ,"$18,388",$0
Kenthurst Public School ,"$13,055",$0
Kentlyn Public School ,$0,"$17,276"
Kentucky Public School ,$775,$0
Khancoban Public School ,"$1,137",$0
Kiama High School ,"$41,665","$94,676"
Kiama Public School ,$0,$0
Killara High School ,"$244,773","$203,857"
Killara Public School ,$0,"$79,754"
Killarney Heights High School ,"$132,937","$185,520"
Killarney Heights Public School ,$0,"$25,954"
Killarney Vale Public School ,$0,$0
Kinchela Public School ,$552,$440
Kincumber High School ,"$34,740","$46,462"
Kincumber Public School ,"$4,961","$4,430"
King Park Public School ,"$10,565",$0
King Street Public School ,"$7,124",$817
Kings Langley Public School ,$0,$0
Kingscliff High School ,"$54,245","$57,851"
Kingscliff Public School ,$0,"$42,568"
Kingsgrove High School ,"$45,466","$79,030"
Kingsgrove North High School ,"$39,911","$94,731"
Kingsgrove Public School ,"$9,550",$0
Kingstown Public School ,$0,$0
Kingswood High School ,"$13,858","$59,962"
Kingswood Park Public School ,$0,$0
Kingswood Public School ,"$4,610",$0
Kingswood South Public School ,$0,$0
Kirkton Public School ,"$1,174",$0
Kirrawee High School ,"$38,610","$260,968"
Kirrawee Public School ,$0,$0
Kitchener Public School ,$49,"$1,915"
Kogarah High School ,"$31,792","$42,796"
Kogarah Public School ,"$21,054",$0
Koonawarra Public School ,$0,$41
Koorawatha Public School ,$0,$0
Kooringal High School ,"$41,090","$64,814"
Kooringal Public School ,"$7,030",$0
Kootingal Public School ,"$2,330",$0
Kororo Public School ,"$16,725","$3,954"
Kotara High School ,"$79,711","$53,101"
Kotara School ,$0,$0
Kotara South Public School ,"$7,761",$0
Krambach Public School ,$0,$0
Kulnura Public School ,"$1,080",$0
Ku-ring-gai High School ,"$77,008","$138,290"
Kurmond Public School ,$0,$0
Kurnell Public School ,$0,$0
Kurrajong East Public School ,"$2,877",$0
Kurrajong North Public School ,$0,"$7,689"
Kurrajong Public School ,$0,$0
Kurrambee School ,$0,$0
Kurri Kurri High School ,"$10,483","$31,770"
Kurri Kurri Public School ,"$3,557",$0
Kyeemagh Infants School ,"$1,795",$0
Kyogle High School ,"$9,524","$25,390"
Kyogle Public School ,"$7,120",$0
La Perouse Public School ,$490,$0
Ladysmith Public School ,$596,$0
Laggan Public School ,$0,$615
Laguna Public School ,"$1,992",$0
Laguna Street Public School ,"$9,072",$0
Lake Albert Public School ,"$12,040",$0
Lake Cargelligo Central School ,"$3,507","$2,384"
Lake Cathie Public School ,"$3,022",$0
Lake Heights Public School ,$0,$0
Lake Illawarra High School ,"$4,800","$32,606"
Lake Illawarra South Public School ,$0,$0
Lake Macquarie High School ,"$3,371","$42,910"
Lake Munmorah High School ,"$6,727","$24,391"
Lake Munmorah Public School ,"$7,598","$2,985"
Lake Wyangan Public School ,"$1,295",$0
Lakelands Public School ,"$1,680",$0
Lakemba Public School ,"$1,790",$0
Lakeside School ,"$1,232","$5,250"
Lalor Park Public School ,$885,$0
Lambton High School ,"$74,500","$82,087"
Lambton Public School ,"$2,216",$390
Lane Cove Public School ,"$79,671","$34,415"
Lane Cove West Public School ,"$90,179","$36,803"
Lansdowne Public School ,$215,$0
Lansvale East Public School ,"$1,614",$0
Lansvale Public School ,$0,$0
Lapstone Public School ,"$18,849",$0
Largs Public School ,$0,"$6,249"
Larnook Public School ,$0,$0
Laurieton Public School ,"$3,270",$0
Lavington East Public School ,"$2,571",$0
Lavington Public School ,"$3,270",$0
Lawrence Hargrave School ,"$1,103",$0
Lawrence Public School ,$0,$0
Lawson Public School ,$0,$0
Leeton High School ,"$7,395","$8,106"
Leeton Public School ,"$16,025",$0
Leeville Public School ,$680,$0
Leichhardt Public School ,"$53,506","$52,958"
Lennox Head Public School ,"$9,907",$0
Leonay Public School ,"$4,677",$0
Leppington Public School ,"$1,407",$0
Les Powell School ,"$1,200","$6,600"
Lethbridge Park Public School ,$0,$0
Leumeah High School ,"$25,951","$52,775"
Leumeah Public School ,"$6,070",$0
Leura Public School ,"$1,256",$0
Lewisham Public School ,"$10,918","$4,262"
Lidcombe Public School ,"$8,695",$745
Lightning Ridge Central School ,$170,"$5,494"
Lilli Pilli Public School ,$0,$0
Lincoln School ,$0,$0
Lindfield East Public School ,"$62,181","$243,770"
Lindfield Public School ,"$5,226","$17,559"
Lindsay Park Public School ,"$6,247","$30,249"
Lisarow High School ,"$30,927","$55,825"
Lisarow Public School ,$0,"$11,359"
Lismore Heights Public School ,"$3,800",$0
Lismore Public School ,"$4,318",$0
Lismore South Public School ,"$1,852",$0
Lithgow High School ,"$24,433","$61,463"
Lithgow Public School ,"$3,665",$0
Liverpool Boys High School ,"$4,743","$23,985"
Liverpool Girls High School ,"$15,642","$34,957"
Liverpool Hospital School ,$0,$0
Liverpool Public School ,"$9,016",$0
Liverpool West Public School ,$0,$0
Llandilo Public School ,"$1,841",$0
Lochinvar Public School ,"$1,275",$0
Lockhart Central School ,"$1,140",$480
Loftus Public School ,"$9,620","$7,233"
Lomandra School ,$390,$150
Londonderry Public School ,"$3,860",$0
Long Flat Public School ,$0,"$1,120"
Longneck Lagoon Environmental Education Centre ,$0,$0
Lord Howe Island Central School ,"$1,050",$0
Louth Public School ,$0,$0
Lowanna Public School ,$0,$0
Lowesdale Public School ,$0,$0
Lucas Gardens School ,$765,$0
Lucas Heights Community School ,"$85,096","$73,022"
Luddenham Public School ,"$1,395",$0
Lue Public School ,$0,$0
Lugarno Public School ,"$15,655",$0
Lurnea High School ,"$2,975","$23,366"
Lurnea Public School ,"$6,206",$0
Lyndhurst Public School ,$310,$108
Lynwood Park Public School ,"$3,360",$0
Macarthur Girls High School ,"$54,337","$132,766"
Macdonald Valley Public School ,$0,$0
Macintyre High School ,"$9,340","$18,488"
Macksville High School ,"$8,892","$20,388"
Macksville Public School ,"$3,432",$0
Maclean High School ,"$45,401","$35,384"
Maclean Public School ,"$1,750",$0
Macquarie Fields High School ,"$80,100","$127,881"
Macquarie Fields Public School ,"$5,377",$0
Madang Avenue Public School ,$0,$0
Maimuru Public School ,$821,$0
Main Arm Upper Public School ,"$5,060","$1,205"
Mainsbridge School ,"$9,966",$0
Maitland East Public School ,"$9,676","$11,488"
Maitland Grossmann High School ,"$95,432","$124,998"
Maitland High School ,"$21,050","$55,432"
Maitland Public School ,"$2,365","$1,285"
Malabar Public School ,"$9,391","$33,519"
Mallawa Public School ,$0,$0
Mandurama Public School ,$200,$0
Manifold Public School ,"$1,016",$0
Manildra Public School ,"$19,818",$0
Manilla Central School ,"$6,315","$8,823"
Manly Vale Public School ,"$42,359","$50,142"
Manly Village Public School ,$0,$0
Manly West Public School ,"$13,881","$156,818"
Mannering Park Public School ,$0,$0
Manning Gardens Public School ,$0,$0
Maraylya Public School ,"$3,150",$0
Marayong Heights Public School ,"$2,210",$0
Marayong Public School ,$0,$0
Marayong South Public School ,"$13,981",$0
Marie Bashir Public School ,"$20,292",$0
Marks Point Public School ,$0,$0
Maroota Public School ,$0,$0
Maroubra Bay Public School ,"$9,350","$39,300"
Maroubra Junction Public School ,$0,"$57,530"
Marra Creek Public School ,$0,$0
Marrar Public School ,$0,$0
Marrickville High School ,"$11,724","$14,574"
Marrickville Intensive English Centre ,"$4,200","$4,200"
Marrickville Public School ,"$7,369",$0
Marrickville West Public School ,"$7,815","$15,127"
Marsden High School ,"$79,329","$33,399"
Marsden Intensive English Centre ,"$12,161",$0
Marsden Park Public School ,$850,$0
Marsden Road Public School ,"$2,990",$0
Martindale Public School ,$535,$0
Martins Creek Public School ,$0,$0
Martins Gully Public School ,$0,$0
Marton Public School ,"$5,251",$0
Marulan Public School ,$0,"$3,503"
Mary Brooksbank School ,"$1,240",$0
Maryland Public School ,"$7,283",$0
Mascot Public School ,"$8,165",$0
Mathoura Public School ,$0,$0
Matong Public School ,$750,$0
Matraville Public School ,"$3,420",$703
Matraville Soldiers Settlement Public School ,"$13,620","$8,102"
Matraville Sports High School ,"$3,687","$10,131"
Matthew Pearce Public School ,"$50,754","$46,848"
Mawarra Public School ,"$8,587",$0
Mayfield East Public School ,"$19,094",$0
Mayfield West Public School ,$0,$0
Mayrung Public School ,"$1,890",$0
McCallums Hill Public School ,"$7,279","$12,752"
Meadow Flat Public School ,"$2,564",$0
Meadowbank Public School ,"$8,535",$0
Medlow Public School ,$265,$0
Medowie Public School ,"$5,137",$310
Megalong Public School ,$0,$0
Melrose Park Public School ,$0,$0
Melville High School ,"$16,892","$31,696"
Menai High School ,"$62,227","$177,690"
Menai Public School ,"$3,490",$0
Mendooran Central School ,$845,$840
Menindee Central School ,$5,$0
Merewether Heights Public School ,"$12,275",$0
Merewether High School ,"$95,418","$192,276"
Merewether Public School ,$0,$0
Merimbula Public School ,"$5,913",$0
Merriwa Central School ,"$1,250","$4,564"
Merrylands East Public School ,$0,$0
Merrylands High School ,"$19,023","$26,211"
Merrylands Public School ,$110,$0
Metella Road Public School ,"$19,637",$0
Metford Public School ,$880,$0
Mian School ,$580,$0
Michelago Public School ,$440,$0
Middle Dural Public School ,$0,$0
Middle Harbour Public School ,"$113,801",$0
Middleton Grange Public School ,"$2,087",$0
Middleton Public School ,"$4,525",$0
Milbrodale Public School ,$100,$160
Milbrulong Public School ,$0,$0
Millbank Public School ,$23,$0
Miller High School ,"$21,952","$20,931"
Miller Public School ,$0,$0
Millers Forest Public School ,"$1,295",$0
Millfield Public School ,$971,$0
Millthorpe Public School ,"$18,519",$40
Milperra Public School ,"$6,600",$0
Milton Public School ,"$13,836",$0
Mimosa Public School ,"$39,331",$0
Minchinbury Public School ,"$7,074",$0
Minerva School ,$0,"$4,820"
Mingoola Public School ,$0,$0
Minmi Public School ,"$1,335",$0
Minnamurra Public School ,"$9,730","$4,755"
Minto Public School ,"$1,355",$0
Miranda North Public School ,"$11,124",$0
Miranda Public School ,"$9,640",$0
Mitchell High School ,"$71,134","$80,133"
Mitchells Island Public School ,$0,$28
Mittagong Public School ,"$6,814",$0
Moama Public School ,"$6,041",$0
Modanville Public School ,"$1,713",$0
Model Farms High School ,"$131,870","$125,082"
Mogo Public School ,$0,$0
Molong Central School ,"$15,281","$19,814"
Mona Vale Public School ,"$96,340",$0
Monaro High School ,"$10,800",$0
Monteagle Public School ,$0,$0
Moonbi Public School ,$0,$0
Moorebank High School ,"$63,067","$101,441"
Moorefield Girls High School ,"$13,939","$25,851"
Moorland Public School ,$0,$0
Moree East Public School ,$0,$0
Moree Public School ,"$1,594",$0
Moree Secondary College Albert St Campus ,"$1,921",$0
Moree Secondary College Carol Ave Campus ,"$7,506",$0
Morgan Street Public School ,"$6,670",$0
Morisset High School ,"$15,060","$46,068"
Morisset Public School ,$915,$0
Morpeth Public School ,"$5,767",$0
Mortdale Public School ,"$5,090",$0
Mortlake Public School ,"$14,611",$0
Moruya High School ,"$10,250","$9,425"
Moruya Public School ,"$6,053",$0
Mosman High School ,"$182,360","$117,100"
Mosman Public School ,$0,"$165,406"
Moss Vale High School ,"$29,747","$61,924"
Moss Vale Public School ,"$5,311",$0
Moulamein Public School ,$360,$0
Mount Annan High School ,"$14,109","$48,414"
Mount Annan Public School ,$0,$0
Mount Austin High School ,"$1,435","$12,707"
Mount Austin Public School ,$0,$985
Mount Brown Public School ,"$7,370",$0
Mount Colah Public School ,"$10,646","$13,403"
Mount Druitt Public School ,$135,$0
Mount George Public School ,$0,$0
Mount Hunter Public School ,$555,$0
Mount Hutton Public School ,$0,$0
Mount Kanwary Public School ,$456,$0
Mount Keira Public School ,"$3,103",$0
Mount Kembla Public School ,"$4,615",$6
Mount Kuring-gai Public School ,"$27,235",$0
Mount Lewis Infants School ,"$4,511",$0
Mount Ousley Public School ,"$1,485",$0
Mount Pleasant Public School ,"$1,040",$0
Mount Pritchard East Public School ,$770,$0
Mount Pritchard Public School ,"$8,656",$0
Mount Riverview Public School ,"$2,297",$0
Mount St Thomas Public School ,$400,$0
Mount Terry Public School ,$0,"$13,049"
Mount Victoria Public School ,"$1,936",$0
Mount View High School ,"$14,983","$77,315"
Mount Warrigal Public School ,$200,$0
Mowbray Public School ,"$22,577",$0
Mudgee High School ,"$37,936","$46,264"
Mudgee Public School ,$0,$0
Muirfield High School ,"$65,517","$87,973"
Mulbring Public School ,$340,$0
Mulgoa Public School ,"$2,440",$0
Mullaley Public School ,$0,$0
Mullaway Public School ,"$4,363","$2,408"
Mullengandra Public School ,$280,$575
Mullion Creek Public School ,$599,$390
Mullumbimby High School ,"$22,766","$39,134"
Mullumbimby Public School ,"$7,990",$0
Mulwala Public School ,"$1,873",$0
Mulwaree High School ,"$21,834","$42,421"
Mulyan Public School ,"$1,274",$0
Mumbil Public School ,$0,$0
Mummulgum Public School ,$0,$0
Mungindi Central School ,$0,$605
Murrami Public School ,$0,$0
Murray Farm Public School ,$0,$0
Murray High School ,"$11,962","$23,055"
Murringo Public School ,$0,$0
Murrumburrah High School ,"$4,370","$6,795"
Murrumburrah Public School ,$0,$0
Murrurundi Public School ,$610,$0
Murwillumbah East Public School ,"$5,226",$0
Murwillumbah High School ,"$20,315","$29,269"
Murwillumbah Public School ,"$3,080",$0
Murwillumbah South Infants School ,$600,$0
Muswellbrook High School ,"$21,973","$38,146"
Muswellbrook Public School ,$0,$0
Muswellbrook South Public School ,"$3,650",$0
Nabiac Public School ,"$2,839","$1,040"
Nambucca Heads High School ,"$6,867","$17,090"
Nambucca Heads Public School ,"$3,705",$0
Nana Glen Public School ,"$2,690",$475
Nangus Public School ,$0,$0
Naradhan Public School ,$400,$0
Narara Public School ,"$5,040",$0
Narara Valley High School ,"$28,016","$125,913"
Nareena Hills Public School ,"$4,149",$0
Narellan Public School ,"$4,144",$0
